"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"109.mixed","109","mixed",1,"new_med","dot_cond4_sub109.txt",6,1,"109_mixed_1_346"
"109.mixed","109","mixed",1,"new_high","dot_cond4_sub109.txt",9,0.888888888888889,"109_mixed_1_346"
"109.mixed","109","mixed",2,"prototype","dot_cond4_sub109.txt",1,1,"109_mixed_2_340"
"109.mixed","109","mixed",2,"old","dot_cond4_sub109.txt",99,0.686868686868687,"109_mixed_2_340"
"109.mixed","109","mixed",2,"new_low","dot_cond4_sub109.txt",3,1,"109_mixed_2_340"
"109.mixed","109","mixed",2,"new_med","dot_cond4_sub109.txt",6,1,"109_mixed_2_340"
"109.mixed","109","mixed",2,"new_high","dot_cond4_sub109.txt",9,0.777777777777778,"109_mixed_2_340"
"109.mixed","109","mixed",3,"prototype","dot_cond4_sub109.txt",1,1,"109_mixed_3_310"
"109.mixed","109","mixed",3,"old","dot_cond4_sub109.txt",99,0.787878787878788,"109_mixed_3_310"
"109.mixed","109","mixed",3,"new_low","dot_cond4_sub109.txt",3,1,"109_mixed_3_310"
"109.mixed","109","mixed",3,"new_med","dot_cond4_sub109.txt",6,0.666666666666667,"109_mixed_3_310"
"109.mixed","109","mixed",3,"new_high","dot_cond4_sub109.txt",9,0.888888888888889,"109_mixed_3_310"
"110.low","110","low",1,"prototype","dot_cond1_sub110.txt",1,1,"110_low_1_284"
"110.low","110","low",1,"old","dot_cond1_sub110.txt",99,0.828282828282828,"110_low_1_284"
"110.low","110","low",1,"new_low","dot_cond1_sub110.txt",3,1,"110_low_1_284"
"110.low","110","low",1,"new_med","dot_cond1_sub110.txt",6,0.833333333333333,"110_low_1_284"
"110.low","110","low",1,"new_high","dot_cond1_sub110.txt",9,0.555555555555556,"110_low_1_284"
"110.low","110","low",2,"prototype","dot_cond1_sub110.txt",1,1,"110_low_2_343"
"110.low","110","low",2,"old","dot_cond1_sub110.txt",99,0.898989898989899,"110_low_2_343"
"110.low","110","low",2,"new_low","dot_cond1_sub110.txt",3,1,"110_low_2_343"
"110.low","110","low",2,"new_med","dot_cond1_sub110.txt",6,0.833333333333333,"110_low_2_343"
"110.low","110","low",2,"new_high","dot_cond1_sub110.txt",9,0.666666666666667,"110_low_2_343"
"110.low","110","low",3,"prototype","dot_cond1_sub110.txt",1,1,"110_low_3_301"
"110.low","110","low",3,"old","dot_cond1_sub110.txt",99,0.808080808080808,"110_low_3_301"
"110.low","110","low",3,"new_low","dot_cond1_sub110.txt",3,1,"110_low_3_301"
"110.low","110","low",3,"new_med","dot_cond1_sub110.txt",6,0.333333333333333,"110_low_3_301"
"110.low","110","low",3,"new_high","dot_cond1_sub110.txt",9,0.444444444444444,"110_low_3_301"
"111.medium","111","medium",1,"prototype","dot_cond2_sub111.txt",1,1,"111_medium_1_321"
"111.medium","111","medium",1,"old","dot_cond2_sub111.txt",99,0.474747474747475,"111_medium_1_321"
"111.medium","111","medium",1,"new_low","dot_cond2_sub111.txt",3,0,"111_medium_1_321"
"111.medium","111","medium",1,"new_med","dot_cond2_sub111.txt",6,0.666666666666667,"111_medium_1_321"
"111.medium","111","medium",1,"new_high","dot_cond2_sub111.txt",9,0.333333333333333,"111_medium_1_321"
"111.medium","111","medium",2,"prototype","dot_cond2_sub111.txt",1,1,"111_medium_2_303"
"111.medium","111","medium",2,"old","dot_cond2_sub111.txt",99,0.757575757575758,"111_medium_2_303"
"111.medium","111","medium",2,"new_low","dot_cond2_sub111.txt",3,0.666666666666667,"111_medium_2_303"
"111.medium","111","medium",2,"new_med","dot_cond2_sub111.txt",6,0.666666666666667,"111_medium_2_303"
"111.medium","111","medium",2,"new_high","dot_cond2_sub111.txt",9,0.666666666666667,"111_medium_2_303"
"111.medium","111","medium",3,"prototype","dot_cond2_sub111.txt",1,0,"111_medium_3_281"
"111.medium","111","medium",3,"old","dot_cond2_sub111.txt",99,0.424242424242424,"111_medium_3_281"
"111.medium","111","medium",3,"new_low","dot_cond2_sub111.txt",3,1,"111_medium_3_281"
"111.medium","111","medium",3,"new_med","dot_cond2_sub111.txt",6,0.666666666666667,"111_medium_3_281"
"111.medium","111","medium",3,"new_high","dot_cond2_sub111.txt",9,0.333333333333333,"111_medium_3_281"
"112.high","112","high",1,"prototype","dot_cond3_sub112.txt",1,1,"112_high_1_285"
"112.high","112","high",1,"old","dot_cond3_sub112.txt",99,0.212121212121212,"112_high_1_285"
"112.high","112","high",1,"new_low","dot_cond3_sub112.txt",3,0,"112_high_1_285"
"112.high","112","high",1,"new_med","dot_cond3_sub112.txt",6,0.5,"112_high_1_285"
"112.high","112","high",1,"new_high","dot_cond3_sub112.txt",9,0.222222222222222,"112_high_1_285"
"112.high","112","high",2,"prototype","dot_cond3_sub112.txt",1,0,"112_high_2_329"
"112.high","112","high",2,"old","dot_cond3_sub112.txt",99,0.444444444444444,"112_high_2_329"
